Year	Province	Exp Smoothing 0.5 alpha	Exp Smoothing 0.65 alpha	Exp Smoothing 0.8 alpha	Exp Smoothing 0.95 alpha
2005	Centro	87836.0	87836.0	87836.0	87836.0
2005	Isole	2579.0	2579.0	2579.0	2579.0
2005	Nord-est	63962.0	63962.0	63962.0	63962.0
2005	Nord-ovest	88494.0	88494.0	88494.0	88494.0
2005	Sud	9510.0	9510.0	9510.0	9510.0
2006	Centro	87836.0	87836.0	87836.0	87836.0
2006	Isole	2579.0	2579.0	2579.0	2579.0
2006	Nord-est	63962.0	63962.0	63962.0	63962.0
2006	Nord-ovest	88494.0	88494.0	88494.0	88494.0
2006	Sud	9510.0	9510.0	9510.0	9510.0
2007	Centro	96191.5	98698.15	101204.8	103711.45
2007	Isole	2944.0	3053.5	3163.0	3272.5
2007	Nord-est	70305.0	72207.9	74110.8	76013.7
2007	Nord-ovest	97164.5	99765.65	102366.8	104967.95
2007	Sud	10588.0	10911.4	11234.8	11558.2
2008	Centro	108194.75	112673.05249999999	116399.36	119373.6725
2008	Isole	3581.0	3810.425	4007.0	4170.725
2008	Nord-est	79200.5	82535.165	85298.96	87491.885
2008	Nord-ovest	108974.25	113427.5775	117100.56	119993.1975
2008	Sud	12430.5	13096.44	13665.36	14137.26
2009	Centro	155483.875	171238.01837499999	185498.272	198603.03362499998
2009	Isole	12773.5	15611.548750000002	18374.2	21076.23625
2009	Nord-est	112842.75	124102.55775	134247.79200000002	143535.34425
2009	Nord-ovest	158792.125	175296.152125	190308.11200000002	204179.159875
2009	Sud	33151.75	39601.204	45831.472	51886.212999999996
2010	Centro	208794.9375	230302.20643125	246784.4544	258930.85168125
2010	Isole	23519.25	27736.2920625	31086.84	33605.561812500004
2010	Nord-est	146201.875	160150.5452125	170498.3584	177759.7172125
2010	Nord-ovest	206201.0625	226200.15324374998	240949.6224	251138.45799375
2010	Sud	55112.375	63957.8714	70824.69440000001	75813.66065
2011	Centro	251664.96875	272053.52225093753	284984.89088	292754.7925840625
2011	Isole	33005.625	37327.502221875	40210.968	42047.678090625
2011	Nord-est	170260.9375	182360.690824375	189555.67168	193491.985860625
2011	Nord-ovest	241011.53125	258454.3536353125	268847.52448	274587.8228996875
2011	Sud	73453.1875	82051.35499	87600.13888	90994.9830325
2012	Centro	286246.484375	303756.93278782815	313659.378176	319424.33962920314
2012	Isole	41602.8125	45694.62577765625	48202.1936	49792.38390453125
2012	Nord-est	189471.46875	199469.54178853123	204856.734336	207922.49929303126
2012	Nord-ovest	267455.765625	281494.02377235936	288889.504896	292934.3911449844
2012	Sud	90472.59375	98587.7742465	103513.62777600001	106667.149151625
2013	Centro	271050.2421875	272620.02647573984	267415.0756352	259032.51698146015
2013	Isole	42861.40625	44671.119022179686	44936.43872	44403.619195226565
2013	Nord-est	189563.734375	193090.73962598594	192696.1468672	190569.32496465158
2013	Nord-ovest	263566.8828125	267313.6083203258	265520.3009792	261340.81955724923
2013	Sud	93915.296875	97788.420986275	98589.12555520001	97823.45745758124
2014	Centro	276062.12109375	278115.10926650895	278342.21512704	279971.925849073
2014	Isole	46761.203125	48564.54165776289	49516.087744	50348.13095976133
2014	Nord-est	201737.8671875	206624.55886909508	209668.82937344	212744.86624823257
2014	Nord-ovest	275929.44140625	280949.562912114	283737.66019584	286944.44097786245
2014	Sud	103669.6484375	107951.54734519625	110457.02511104	112643.97287287907
2015	Centro	307406.060546875	317527.78824327816	326668.443025408	335811.09629245364
2015	Isole	53406.1015625	56030.739580217014	57944.0175488	59565.85654798806
2015	Nord-est	220535.43359375	227885.04560418328	233400.165874688	238003.59331241163
2015	Nord-ovest	300822.720703125	310047.74701923993	317320.332039168	323777.4220488931
2015	Sud	118229.82421875	124096.54157081869	128323.405022208	131782.69864364396
2016	Centro	333500.5302734375	344871.47588514735	353009.6886050816	358405.8048146227
2016	Isole	58812.05078125	61352.45885307596	62963.20350976	63985.3928273994
2016	Nord-est	234512.216796875	241277.61596146415	245471.2331749376	247964.72966562057
2016	Nord-ovest	317442.3603515625	325657.011456734	330713.6664078336	333547.7711024447
2016	Sud	129684.412109375	135174.13954978655	138575.8810044416	140671.1849321822
